"rrg"	"ticker"	"window_lm"	"marginabile"	"name"	"min_date_window"	"estimate"	"p.value"	"adj.r.squared"
1	"EVISO.MI"	30	NA	"EVISO"	2025-04-15	0.0254349276974416	0.000474841940894182	0.335426111921735
1	"G.MI"	30	NA	"GENERALI ASS"	2025-04-15	0.0910923248053395	0.000498953853139895	0.333193069965965
1	"BZU.MI"	30	NA	"BUZZI"	2025-04-15	0.108008898776418	0.000520889137490145	0.331248162262852
1	"BGN.MI"	30	"si"	"BANCA GENERALI"	2025-04-15	0.215061179087875	0.00058335161721846	0.326105080515202
1	"TGYM.MI"	30	"si"	"TECHNOGYM"	2025-04-15	0.0381245828698554	0.000717169108057162	0.316639033544969
1	"OJM.MI"	30	NA	"OPENJOBMETIS"	2024-05-27	0.0036818687430478	0.00086009619742946	0.30821582390537
1	"SCF.MI"	30	NA	"SALCEF GROUP"	2024-10-07	0.00290322580645214	0.00545515829505427	0.217720853402645
1	"EEMS.MI"	30	NA	"EEMS"	2025-04-15	0.00116796440489433	0.00591078587913892	0.213597666063242
1	"PVN.MI"	30	NA	"PIOVAN"	2025-02-20	0.00201334816462726	0.00989937207283332	0.186740061383567
1	"RWAY.MI"	30	NA	"RAI WAY"	2025-04-15	0.00868075639599564	0.0114949336756997	0.178849497840608
1	"BMPS.MI"	30	NA	"BANCA MONTE PASCHI SIENA"	2025-04-15	0.0245205784204672	0.0143110778342296	0.167197895691942
1	"CED.MI"	30	NA	"CALTAGIRONE EDIT"	2025-04-15	0.00273859844271414	0.0164710620307407	0.159675485263513
1	"BDB.MI"	30	NA	"BCO DESIO BRIANZA"	2025-04-15	0.0143982202447165	0.0238723928423755	0.139654805597584
1	"PHIL.MI"	45	NA	"PHILOGEN"	2025-03-25	0.0873188405797101	1.44606984910585e-26	0.92918789603224
1	"NWL.MI"	45	NA	"NEWLAT FOOD"	2025-03-25	0.0947878787878787	4.97461420458817e-19	0.84161295307288
1	"CMB.MI"	45	NA	"CEMBRE"	2025-03-25	0.29697628458498	1.0891727698685e-18	0.835757990207545
1	"SOL.MI"	45	NA	"SOL"	2025-03-25	0.244808959156785	2.05311332603707e-17	0.811838379261456
1	"ACE.MI"	45	"si"	"ACEA"	2025-03-25	0.0771673254281948	1.5782325293476e-16	0.793217596267337
1	"PST.MI"	45	"si"	"POSTE ITALIANE"	2025-03-25	0.0794163372859024	2.23224816321959e-16	0.789875001371604
1	"MOL.MI"	45	NA	"MUTUIONLINE"	2025-03-25	0.255164690382082	2.66455733345333e-16	0.788147618438791
1	"NVP.MI"	45	NA	"NVP"	2025-01-08	0.00698550724637676	2.33861583589234e-15	0.765770016932873
1	"FCT.MI"	45	"si"	"FINCANTIERI"	2025-03-25	0.128611330698287	3.15409015962392e-15	0.762509862098306
1	"CRL.MI"	45	NA	"CAREL INDUSTRIES"	2025-03-25	0.122860342555995	2.03716349517552e-14	0.741140329320579
