"ticker"	"name"	"rrg"	"data"	"close"	"factor"	"atr_low"	"atr_high"	"DC_low"	"DC_high"	"sd_low"	"sd_high"	"stop_loss"	"hi1"	"hi2"	"hi3"	"hi4"	"lo1"	"lo2"	"lo3"	"lo4"	"flr"	"clg"
"MFT.MI"	"MATICA FINTEC"	-1	2026-03-31	1.89	1	1.77982256302415	2.00017743697585	2.41	1.75	1.76542600063143	2.01457399936857	2.41	1.91	2.41	2.41	1.92	1.78	1.75	1.71	1.5	1.5	1.92
"MIT.MI"	"MITTEL"	-1	2025-03-07	1.75	1	1.74896181747994	1.75103818252006	1.75	1.75	1.75	1.75	1.75	1.76	1.69	1.76	1.91	1.75	1.52	1.32	1.12	1.32	1.91
"MN.MI"	"MONDADORI EDIT"	-1	2026-03-31	1.99	1	1.94682489397281	2.03317510602719	2.02	1.87	1.97443376435012	2.00556623564988	2.02	2	2.13	2.17	2.67	1.96	1.87	1.87	1.89	1.89	2.24
"MNL.MI"	"MONNALISA"	-1	2026-03-30	0.85	1	0.832727455050206	0.867272544949794	0.91	0.85	0.830318469638703	0.869681530361297	0.91	0.9	0.95	1.31	1.89	0.85	0.84	0.84	0.5	0.5	1.89
"MOL.MI"	"MUTUIONLINE"	-1	2026-03-31	31.6	1	30.4071962437432	32.7928037562568	32.05	29.65	30.762224295012	32.437775704988	34.5	32.05	34.35	47.65	50.5	29.75	28.95	28.95	31.2	19.23	50.5
"MON.MI"	"MONRIF"	-1	2024-07-12	0.04	1	0.0384758898970793	0.0415241101029207	0.04	0.04	0.04	0.04	NA	0.04	0.06	0.07	50.5	0.03	0.03	0.03	31.2	0.05	0.31
"MONC.MI"	"MONCLER"	-1	2026-03-31	51.4	1	49.7297999129075	53.0702000870925	54.68	49.78	50.5619633095708	52.2380366904292	56.06	53	56.06	59.34	59.4	49.78	52.26	46.91	45.46	35	70.48
"MQSPA.MI"	"MEGLIOQUESTO"	-1	2026-03-30	0.22	1	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.25	0.4	0.56	59.4	0.19	0.36	0.19	45.46	35	4.39
"MTS.MI"	"MIT SIM"	-1	2026-03-31	1.7	1	1.64726528235157	1.75273471764843	1.86	1.46	1.60983226863107	1.79016773136893	1.86	1.8	1.92	2.68	59.4	1.47	1.65	1.46	45.46	1.26	8
"MTV.MI"	"MONDO TV"	-1	2026-03-31	0.05	1	0.0477198044680878	0.0522801955319122	0.06	0.05	0.0473273875808758	0.0526726124191242	0.06	0.06	0.09	0.78	2.81	0.05	0.02	0.02	0.84	1.05	2.32
"MTVFR.MI"	"MONDO TV FRANCE"	-1	2026-03-31	0.02	1	0.0171944978271805	0.0228055021728195	0.02	0.01	0.0150275484190115	0.0249724515809885	0.02	0.02	0.15	0.2	2.81	0.01	0.04	0.01	0.84	0.09	0.88
