"date"	"ticker"	"name"	"volume"
"2025-01-22 16:25:50"	"FPE.MI"	"FOPE"	3500
"2025-01-22 16:35:17"	"VLS.MI"	"VALSOIA"	3409
"2025-01-22 14:10:12"	"ARBS.MI"	"ARTERRA BIOSCIENCE"	3000
"2025-01-22 12:39:47"	"ABTG.MI"	"ALFIO BARDOLLA"	2450
"2025-01-22 16:35:14"	"PHN.MI"	"PHARMANUTRA"	2425
"2025-01-22 16:35:43"	"LLY.DE"	NA	2423
"2025-01-22 16:35:11"	"PQ.MI"	"PIQUADRO"	2223
"2025-01-22 16:17:30"	"DBA.MI"	"DBA GROUP"	2100
"2025-01-22 09:04:02"	"EUK.MI"	"EUKEDOS"	2010
"2025-01-22 16:35:04"	"GIS.MI"	"GISMONDI 1754"	2000
"2025-01-22 09:42:16"	"MTS.MI"	"MIT SIM"	2000
"2025-01-22 16:29:38"	"POR.MI"	"PORTOBELLO"	1800
"2025-01-22 14:01:40"	"PTR.MI"	"PATTERN"	1757
"2025-01-22 12:07:48"	"VNT.MI"	"VANTEA SMART"	1690
"2025-01-22 16:23:03"	"CLI.MI"	"CENTRALE DEL LATTE D'ITALIA"	1553
"2025-01-22 15:54:24"	"DOX.MI"	"DOXEE"	1500
"2025-01-22 08:05:04"	"FARM.MI"	"H-FARM"	1500
"2025-01-22 16:12:17"	"FVI.MI"	"FERVI"	1500
"2025-01-22 13:36:47"	"RETI.MI"	"RETI"	1500
"2025-01-22 16:35:02"	"MASI.MI"	"MASI AGRICOLA"	1304
"2025-01-22 15:08:12"	"TYA.MI"	"TOSCANA AEROPORTI"	1217
"2025-01-22 15:23:52"	"CFV.MI"	"CONFINVEST"	1000
"2025-01-22 15:47:07"	"ESAU.MI"	"ESAUTOMOTION"	1000
"2025-01-22 12:14:33"	"GROW.MI"	"GROWENS"	1000
"2025-01-22 15:21:50"	"ZUC.MI"	"ZUCCHI"	979
"2025-01-22 16:20:15"	"COP.MI"	"COPERNICO"	750
"2025-01-22 08:13:03"	"FOS.MI"	"FOS"	750
"2025-01-22 14:37:58"	"OS.MI"	"OFFICINA STELLARE"	750
