"rrg"	"ticker"	"name"	"date"	"rclose"	"RSI"
1	"FRE.MI"	"FRENDY ENERGY"	2025-06-23	0.13	100
-1	"GSP.MI"	"GAS PLUS"	2025-06-20	2.65	78.5714285714286
1	"DIA.MI"	"DIASORIN"	2025-06-20	49.87	71.4285714285714
-1	"TIME.MI"	"COMPAGNIA DEI CARAIBI"	2025-06-18	0.19	64.2857142857143
-1	"GAB.MI"	"GABETTI"	2025-06-17	0.39	85.7142857142857
0	"CED.MI"	"CALTAGIRONE EDIT"	2025-06-17	0.83	42.8571428571429
0	"SPN.MI"	"SPINDOX"	2025-06-12	6.98	64.2857142857143
1	"NOV.DE"	NA	2025-06-12	36.04	64.2857142857143
-1	"EVA.MI"	"ASKOLL EVA"	2025-06-11	0.07	100
0	"PMT.MI"	"PROMOTICA"	2025-06-09	1.2	71.4285714285714
0	"CFM.MI"	"CROWDFUNDME"	2025-06-06	0.67	71.4285714285714
1	"TXT.MI"	"TXT E-SOLUTIONS"	2025-05-27	19.87	57.1428571428571
-1	"NUS.MI"	"NUSCO"	2025-05-26	0.59	71.4285714285714
-1	"DAN.MI"	"DANIELI & C"	2025-05-22	17.31	50
-1	"HI.MI"	"HEALTH ITALIA"	2025-05-21	57	28.5714285714286
-1	"FOS.MI"	"FOS"	2025-05-19	2.03	42.8571428571429
-1	"EDNR.MI"	"EDISON R"	2025-05-16	0.95	64.2857142857143
1	"FILA.MI"	"FILA"	2025-05-16	5.3	35.7142857142857
1	"ALK.MI"	"ALKEMY"	2025-05-15	6.6	14.2857142857143
0	"EDNR.MI"	"EDISON R"	2025-05-13	0.96	64.2857142857143
-1	"CRL.MI"	"CAREL INDUSTRIES"	2025-05-12	10.8	64.2857142857143
1	"A2A.MI"	"A2A"	2025-05-12	1.15	57.1428571428571
0	"FNM.MI"	"FNM"	2025-05-07	0.21	71.4285714285714
1	"EEMS.MI"	"EEMS"	2025-05-06	0.08	92.8571428571429
1	"CIRC.MI"	"CIRCLE"	2025-04-30	3.2	35.7142857142857
-1	"CLI.MI"	"CENTRALE DEL LATTE D'ITALIA"	2025-04-25	1.6	42.8571428571429
0	"POPR.MI"	"POLIGRAFICI PRINTING"	2025-04-24	0.19	71.4285714285714
0	"BE.MI"	"BEGHELLI"	2025-04-23	0.19	78.5714285714286
-1	"BIE.MI"	"BIOERA"	2025-04-22	0.02	85.7142857142857
-1	"PRM.MI"	"PRISMI"	2025-04-15	0.04	100
-1	"GE.MI"	"GEFRAN"	2025-04-10	5.2	50
-1	"TNXT.MI"	"TINEXTA"	2025-04-10	4.85	57.1428571428571
-1	"GBUS.MI"	"GIBUS"	2025-04-09	6.49	64.2857142857143
0	"MFEB.MI"	NA	2025-04-09	2.57	64.2857142857143
-1	"BE.MI"	"BEGHELLI"	2025-04-08	0.21	92.8571428571429
-1	"MFT.MI"	"MATICA FINTEC"	2025-04-08	1.1	85.7142857142857
-1	"EEMS.MI"	"EEMS"	2025-04-07	0.08	85.7142857142857
-1	"AUTME.MI"	"AUTOSTRADE MERID"	2025-04-04	1.6	57.1428571428571
-1	"SPM.MI"	"SAIPEM"	2025-04-04	1.07	57.1428571428571
0	"ABC.MI"	"ABC COMPANY"	2025-04-04	2.21	71.4285714285714
0	"ARBS.MI"	"ARTERRA BIOSCIENCE"	2025-04-04	1.34	71.4285714285714
0	"MTV.MI"	"MONDO TV"	2025-04-04	0.02	100
-1	"IRE.MI"	"IREN"	2025-04-03	1.36	85.7142857142857
-1	"TRN.MI"	"TERNA"	2025-04-02	4.51	64.2857142857143
1	"PVN.MI"	"PIOVAN"	2025-04-02	6.92	57.1428571428571
-1	"EQUI.MI"	"EQUITA GROUP"	2025-03-28	2.54	57.1428571428571
-1	"PLC.MI"	"PLC"	2025-03-28	0.96	64.2857142857143
0	"LMG.MI"	"LUCISANO MEDIA GROUP"	2025-03-28	0.49	78.5714285714286
0	"ENEL.MI"	"ENEL"	2025-03-27	3.91	57.1428571428571
-1	"LMG.MI"	"LUCISANO MEDIA GROUP"	2025-03-21	0.48	78.5714285714286
-1	"NWL.MI"	"NEWLAT FOOD"	2025-03-19	7.2	64.2857142857143
-1	"CVG.MI"	"CONVERGENZE"	2025-03-18	0.91	35.7142857142857
1	"CML.MI"	"COMAL"	2025-03-18	2.83	50
0	"BFG.MI"	"B.F"	2025-03-17	2.47	42.8571428571429
0	"CIR.MI"	"CIR"	2025-03-17	0.3	71.4285714285714
0	"CVG.MI"	"CONVERGENZE"	2025-03-17	0.94	42.8571428571429
0	"U24.MI"	"UCAPITAL24"	2025-03-13	0.24	64.2857142857143
1	"NVP.MI"	"NVP"	2025-03-11	2.49	64.2857142857143
-1	"CNF.MI"	"CONAFI"	2025-03-10	0.09	71.4285714285714
0	"RWAY.MI"	"RAI WAY"	2025-03-10	3.06	50
-1	"ACE.MI"	"ACEA"	2025-03-07	9.06	57.1428571428571
-1	"MIT.MI"	"MITTEL"	2025-03-07	0.94	64.2857142857143
1	"BC.MI"	"BRUNELLO CUCINELLI"	2025-03-06	62.02	35.7142857142857
-1	"IG.MI"	"ITALGAS"	2025-03-05	2.61	50
1	"ASC.MI"	"ASCOPIAVE"	2025-03-05	1.52	50
0	"BO.MI"	"BORGOSESIA"	2025-03-04	0.29	71.4285714285714
-1	"PST.MI"	"POSTE ITALIANE"	2025-02-19	7.89	28.5714285714286
-1	"AV.MI"	"ANTARES VISION"	2025-02-18	2.08	50
1	"BFG.MI"	"B.F"	2025-02-17	2.5	35.7142857142857
1	"BST.MI"	"BANCA SISTEMA"	2025-02-14	1	78.5714285714286
1	"REY.MI"	"REPLY"	2025-01-30	89.47	57.1428571428571
0	"ENAV.MI"	"ENAV"	2025-01-29	1.77	42.8571428571429
1	"ENAV.MI"	"ENAV"	2025-01-28	1.81	50
1	"SHE.MI"	"SHEDIR PHARMA GROUP"	2025-01-21	2.97	50
-1	"FCM.MI"	"FRIULCHEM"	2025-01-17	0.48	57.1428571428571
0	"EQUI.MI"	"EQUITA GROUP"	2025-01-16	2.58	35.7142857142857
0	"SHE.MI"	"SHEDIR PHARMA GROUP"	2025-01-16	3	42.8571428571429
-1	"IGV.MI"	"I GRANDI VIAGGI"	2025-01-14	0.64	57.1428571428571
0	"PIRC.MI"	"PIRELLI & C"	2025-01-13	3.59	57.1428571428571
1	"MFEB.MI"	NA	2025-01-13	2.4	42.8571428571429
1	"TEN.MI"	"TENARIS"	2025-01-13	11.36	50
1	"RACE.MI"	"FERRARI"	2025-01-10	247.28	42.8571428571429
0	"PHN.MI"	"PHARMANUTRA"	2025-01-07	32.4	50
1	"UNIR.MI"	"UNIEURO"	2025-01-07	6.77	50
0	"AV.MI"	"ANTARES VISION"	2025-01-06	2.08	71.4285714285714
1	"PHN.MI"	"PHARMANUTRA"	2025-01-06	33.04	50
1	"IRC.MI"	"IRCE"	2024-12-23	1.26	42.8571428571429
1	"LLY.DE"	NA	2024-12-19	448.41	50
1	"SRI.MI"	"SERVIZI ITALIA"	2024-12-13	1.4	50
1	"REC.MI"	"RECORDATI ORD"	2024-12-12	30.46	28.5714285714286
0	"GHC.MI"	"GAROFALO HEALTH CARE"	2024-12-11	3.06	35.7142857142857
1	"GHC.MI"	"GAROFALO HEALTH CARE"	2024-12-10	3.09	42.8571428571429
1	"RLT.MI"	"RELATECH"	2024-12-09	1.55	42.8571428571429
0	"SRI.MI"	"SERVIZI ITALIA"	2024-11-26	1.48	78.5714285714286
0	"ALK.MI"	"ALKEMY"	2024-11-25	7.91	50
-1	"ALW.MI"	"ALGOWATT"	2024-11-22	0.14	100
-1	"CML.MI"	"COMAL"	2024-11-21	2.49	64.2857142857143
-1	"U24.MI"	"UCAPITAL24"	2024-11-20	0.31	92.8571428571429
-1	"SCF.MI"	"SALCEF GROUP"	2024-11-15	17.9	71.4285714285714
1	"SAB.MI"	"SABAF"	2024-11-15	10.58	57.1428571428571
-1	"IGD.MI"	NA	2024-11-13	1.33	42.8571428571429
0	"BPSO.MI"	"BCA POP SONDRIO"	2024-11-13	4.39	71.4285714285714
-1	"MAPS.MI"	"MAPS"	2024-11-07	1.68	64.2857142857143
-1	"UNIR.MI"	"UNIEURO"	2024-11-07	6.31	64.2857142857143
-1	"IE.MI"	"IERVOLINO & LADY BACARDI ENTERTAINMENT"	2024-11-06	0.26	92.8571428571429
1	"STLAM.MI"	"STELLANTIS"	2024-11-06	7.86	64.2857142857143
-1	"MAIRE.MI"	"MAIRE"	2024-11-05	4.17	42.8571428571429
0	"ZEST.MI"	"ZEST"	2024-11-05	0.11	92.8571428571429
-1	"RLT.MI"	"RELATECH"	2024-11-04	1.56	71.4285714285714
-1	"AVIO.MI"	"AVIO"	2024-10-31	7.19	35.7142857142857
-1	"FM.MI"	"FIERA MILANO"	2024-10-29	2.49	64.2857142857143
1	"IVS.MI"	"IVS GROUP"	2024-10-28	4.24	42.8571428571429
1	"DHH.MI"	"DHH"	2024-10-22	12.62	42.8571428571429
1	"SCF.MI"	"SALCEF GROUP"	2024-10-17	17.4	42.8571428571429
0	"SAB.MI"	"SABAF"	2024-10-10	11.16	50
0	"BST.MI"	"BANCA SISTEMA"	2024-10-09	0.87	64.2857142857143
0	"PLC.MI"	"PLC"	2024-10-08	0.99	64.2857142857143
-1	"FNX.MI"	"FENIX ENTERTAINMENT"	2024-10-02	0	100
1	"PIRC.MI"	"PIRELLI & C"	2024-10-01	3.55	42.8571428571429
0	"NVP.MI"	"NVP"	2024-09-30	2.05	71.4285714285714
0	"GTH.MI"	"GREENTHESIS"	2024-09-20	1.41	78.5714285714286
-1	"FCT.MI"	"FINCANTIERI"	2024-09-11	2.78	35.7142857142857
-1	"GEL.MI"	"GEL"	2024-09-11	0.88	57.1428571428571
1	"SRS.MI"	"SARAS"	2024-09-10	1	64.2857142857143
-1	"MOL.MI"	"MUTUIONLINE"	2024-09-09	19.26	42.8571428571429
0	"CY4.MI"	"CY4GATE"	2024-09-06	3.21	42.8571428571429
1	"MIT.MI"	"MITTEL"	2024-09-05	1.03	71.4285714285714
1	"AMB.MI"	"AMBROMOBILIARE"	2024-09-04	0.86	64.2857142857143
0	"CYB.MI"	"CYBEROO"	2024-08-30	1.99	42.8571428571429
1	"GTH.MI"	"GREENTHESIS"	2024-08-28	1.4	50
