volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
238951	0.42	0.41	0.42	0.41	0.38	CIR.MI	0.49	0.49	0.47	0.47			0.0	1.0	-1.0	1																	0.49		0.49									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
290844	0.42	0.4	0.42	0.4	0.37	CIR.MI	0.49	0.49	0.47	0.47			0.0	1.0	-1.0	1																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
354215	0.41	0.4	0.41	0.4	0.37	CIR.MI	0.47	0.48	0.46	0.47			0.0	1.0	-1.0	1																		0.46										0.0	0.0	0.0	0.0	0.0	0.0		0.0
311938	0.41	0.4	0.41	0.4	0.37	CIR.MI	0.48	0.48	0.47	0.47			0.0	1.0	-1.0	1								0.4																				0.0	0.0	0.0	0.0	0.0	0.0		0.0
369110	0.41	0.41	0.41	0.41	0.38	CIR.MI	0.48	0.48	0.48	0.48			0.0	1.0	-1.0	1																	0.48											0.0	0.0	0.0	0.0	0.0	0.0		0.0
148553	0.42	0.4	0.4	0.4	0.37	CIR.MI	0.47	0.48	0.47	0.47			0.0	1.0	-1.0	1							0.42											0.47										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
159660	0.41	0.4	0.4	0.41	0.38	CIR.MI	0.47	0.48	0.47	0.48			0.0	1.0	-1.0	1																	0.48											0.0	0.0	0.0	0.0	0.0	0.0		0.0
433441	0.42	0.4	0.41	0.4	0.37	CIR.MI	0.48	0.49	0.48	0.48			0.0	1.0	-1.0	1																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
797950	0.41	0.39	0.4	0.41	0.38	CIR.MI	0.47	0.48	0.46	0.48			0.0	1.0	-1.0	1																		0.46										0.0	0.0	0.0	0.0	0.0	0.0		0.0
267568	0.41	0.4	0.4	0.4	0.37	CIR.MI	0.47	0.47	0.47	0.47			0.0	1.0	-1.0	1																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
378647	0.41	0.39	0.41	0.4	0.37	CIR.MI	0.49	0.49	0.47	0.47			0.0	1.0	-1.0	1																	0.49		0.49									0.0	0.0	0.0	0.0	0.0	0.0		0.0
371654	0.4	0.39	0.4	0.39	0.36	CIR.MI	0.47	0.47	0.46	0.46			0.0	1.0	-1.0	1																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
149597	0.4	0.39	0.39	0.39	0.36	CIR.MI	0.46	0.47	0.46	0.46			0.0	1.0	-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
534781	0.4	0.38	0.4	0.39	0.36	CIR.MI	0.46	0.46	0.44	0.45			0.0	1.0	-1.0	0																		0.44										0.0	0.0	0.0	0.0	0.0	0.0		0.0
922415	0.39	0.38	0.39	0.39	0.36	CIR.MI	0.46	0.47	0.45	0.46			0.0	1.0	-1.0	0																	0.47											0.0	0.0	0.0	0.0	0.0	0.0		0.0
1169299	0.4	0.38	0.39	0.38	0.35	CIR.MI	0.46	0.46	0.44	0.44	0.5	0.37	0.0	1.0	-1.0	0	1.0			1.0																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1384286	0.39	0.38	0.38	0.38	0.35	CIR.MI	0.43	0.45	0.43	0.43	0.5	0.37	0.0	1.0	-1.0	0	1.0			1.0																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
972529	0.38	0.37	0.38	0.37	0.35	CIR.MI	0.43	0.44	0.42	0.43	0.5	0.37	0.0	1.0	-1.0	0	1.0			1.0				0.37		0.37								0.42		0.42								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
409447	0.39	0.38	0.38	0.38	0.35	CIR.MI	0.44	0.45	0.43	0.43	0.5	0.37	0.0	1.0	-1.0	0	1.0			1.0																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
196102	0.4	0.38	0.38	0.39	0.36	CIR.MI	0.43	0.46	0.43	0.44	0.5	0.37	0.0	1.0	-1.0	0	1.0			1.0																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
3752445	0.4	0.39	0.4	0.4	0.37	CIR.MI	0.46	0.46	0.45	0.46	0.5	0.37	0.0	1.0	-1.0	0	1.0			1.0																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
1327868	0.41	0.4	0.4	0.41	0.38	CIR.MI	0.46	0.48	0.46	0.48	0.5	0.37	0.0	1.0	-1.0	0	1.0			1.0			0.41																					0.0	0.0	0.0	0.0	0.0	0.0		0.0
141773	0.42	0.41	0.41	0.41	0.38	CIR.MI	0.48	0.49	0.48	0.48	0.5	0.37	0.0	1.0	-1.0	1	1.0			1.0													0.49		0.49									0.0	0.0	0.0	0.0	0.0	0.0		0.0
1359696	0.42	0.38	0.42	0.39	0.36	CIR.MI	0.5	0.5	0.46	0.46	0.5	0.37	0.0	1.0	1.0	1	1.0			1.0																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
235942	0.39	0.38	0.39	0.39	0.36	CIR.MI	0.46	0.46	0.45	0.46	0.5	0.37	0.0	1.0	1.0	1	1.0			1.0				0.38																				0.0	0.0	0.0	0.0	0.0	0.0		0.0
269379	0.4	0.39	0.4	0.39	0.36	CIR.MI	0.46	0.46	0.45	0.46	0.5	0.37	0.0	1.0	1.0	1	1.0			1.0			0.4																					0.0	0.0	0.0	0.0	0.0	0.0		0.0
133757	0.4	0.39	0.4	0.39	0.36	CIR.MI	0.46	0.46	0.45	0.45	0.5	0.37	0.0	1.0	1.0	1	1.0			1.0														0.45										0.0	0.0	0.0	0.0	0.0	0.0		0.0
