volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
3811591	0.78	0.75	0.77	0.78	0.53	RCS.MI	0.96	0.98	0.94	0.98	0.98	0.47	1.0	1.0	1.0	1	1.0			1.0														0.98		0.98											0.010000000000000009	0.010000000000000009	0.010000000000000009	0.012987012987013102	0.012903404835908001	0.012987012987013102	0.7	0.010000000000000009
4731398	0.78	0.73	0.77	0.74	0.5	RCS.MI	0.98	0.99	0.93	0.94	0.99	0.47	1.0	1.0	1.0	1	1.0			1.0																											-0.040000000000000036	-0.040000000000000036	-0.030000000000000027	-0.05128205128205132	-0.05264373348542203	-0.03896103896103886	0.71	-0.030000000000000027
1928963	0.76	0.74	0.75	0.75	0.5	RCS.MI	0.94	0.96	0.93	0.94	0.99	0.47	1.0	1.0	1.0	1	1.0			1.0				0.74											0.93												0.010000000000000009	0.010000000000000009	-0.020000000000000018	0.013513513513513598	0.01342302033214077	-0.02597402597402576	0.71	-0.020000000000000018
2659942	0.75	0.74	0.74	0.75	0.51	RCS.MI	0.94	0.95	0.94	0.95	0.99	0.47	1.0	1.0	1.0	1	1.0			1.0														0.95													0.0	0.0	-0.020000000000000018	0.0	0.0	-0.02597402597402576	0.71	-0.020000000000000018
5991824	0.78	0.75	0.77	0.78	0.53	RCS.MI	0.95	0.96	0.92	0.96	0.99	0.47	1.0	1.0	1.0	1	1.0			1.0																											0.030000000000000027	0.030000000000000027	0.010000000000000009	0.040000000000000036	0.03922071315328133	0.012987012987013324	0.71	0.010000000000000009
7087782	0.79	0.76	0.77	0.77	0.52	RCS.MI	0.92	0.94	0.91	0.92	0.99	0.47	1.0	1.0	1.0	1	1.0			1.0																											-0.010000000000000009	-0.010000000000000009	0.0	-0.012820512820512886	-0.012903404835907954	2.220446049250313e-16	0.71	0.0
5245948	0.77	0.76	0.77	0.76	0.52	RCS.MI	0.92	0.92	0.91	0.91	0.99	0.47	1.0	1.0	1.0	1	1.0			1.0															0.91												-0.010000000000000009	-0.010000000000000009	-0.010000000000000009	-0.012987012987012991	-0.013072081567352775	-0.01298701298701277	0.71	-0.010000000000000009
1921552	0.78	0.76	0.77	0.77	0.52	RCS.MI	0.92	0.93	0.91	0.92	0.99	0.47	1.0	1.0	1.0	1	1.0			1.0														0.93													0.010000000000000009	0.010000000000000009	0.0	0.013157894736842035	0.0130720815673527	0.0	0.73	0.0
3426875	0.79	0.76	0.76	0.78	0.53	RCS.MI	0.88	0.91	0.88	0.91	0.99	0.47	1.0	1.0	1.0	1	1.0			1.0			0.79												0.88		0.88										0.010000000000000009	0.010000000000000009	0.010000000000000009	0.012987012987013102	0.012903404835908001	0.012987012987013102	0.73	0.010000000000000009
5241257	0.76	0.72	0.74	0.76	0.51	RCS.MI	0.98	1.01	0.95	1.0	1.01	0.47	1.0	1.0	1.0	0	1.0			1.0				0.72		0.72																					-0.020000000000000018	-0.020000000000000018	-0.010000000000000009	-0.02564102564102566	-0.025975486403260677	-0.01298701298701277	0.72	-0.010000000000000009
