volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
438572	18.06	17.79	17.85	17.94	14.25	MARR.MI	20.59	20.83	20.52	20.69	22.83	17.76	0.0	1.0	1.0	0	1.0			1.0			18.06																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
17537	18.03	17.75	17.98	17.75	14.1	MARR.MI	20.82	20.87	20.55	20.55	22.83	17.76	0.0	1.0	1.0	0	1.0			1.0																20.55												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
130864	18.0	17.73	17.81	17.73	14.09	MARR.MI	20.79	21.01	20.69	20.69	22.83	17.76	0.0	1.0	1.0	0	1.0			1.0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
64565	17.74	17.44	17.73	17.74	14.1	MARR.MI	21.47	21.48	21.12	21.48	22.83	17.76	0.0	1.0	1.0	0	1.0			1.0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
78152	17.52	17.0	17.52	17.1	13.59	MARR.MI	21.85	21.85	21.21	21.33	22.83	18.63	0.0	1.0	1.0	-1	1.0			1.0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
61482	17.24	17.0	17.05	17.21	13.67	MARR.MI	21.73	21.97	21.66	21.93	22.83	18.73	0.0	1.0	1.0	-1	1.0			1.0															21.97		21.97											0.0	0.0	0.0	0.0	0.0	0.0		0.0
210322	17.29	16.7	17.05	16.85	13.39	MARR.MI	21.41	21.71	20.97	21.16	22.83	18.73	0.0	1.0	1.0	-1	1.0			1.0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
95195	16.85	16.4	16.5	16.45	13.07	MARR.MI	20.92	21.37	20.79	20.86	22.83	18.73	0.0	1.0	1.0	-1	1.0			1.0				16.4																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
232241	16.9	16.3	16.46	16.63	13.21	MARR.MI	20.17	20.71	19.97	20.38	22.83	18.73	0.0	1.0	1.0	-1	1.0			1.0																19.97												0.0	0.0	0.0	0.0	0.0	0.0		0.0
187627	17.35	16.97	16.97	17.11	13.59	MARR.MI	20.28	20.73	20.28	20.44	22.83	18.73	0.0	1.0	1.0	-1	1.0			1.0															20.73													0.0	0.0	0.0	0.0	0.0	0.0		0.0
