date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch
2020-02-28 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	523.44	523.44	523.44	523.44	523.44	423.38	1.0	1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0									-1.0			451.66
2020-03-02 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	531.4	531.4	531.4	531.4	531.4	423.38	1.0	1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0	531.4								-1.0			451.66
2020-03-03 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	529.12	529.12	529.12	529.12	531.4	423.38	1.0	1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0									-1.0			451.66
2020-03-04 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	524.35	524.35	524.35	524.35	531.4	423.38	1.0	1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0		524.35							-1.0			451.66
2020-03-05 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	533.86	533.86	533.86	533.86	533.86	423.38	1.0	1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0									-1.0			451.66
2020-03-06 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	553.24	553.24	553.24	553.24	553.24	423.38	1.0	1.0	1.0	1	1.0	-1.0	-1.0	1.0	-1.0	-1.0								-1.0			560.0									-1.0			451.66
2020-03-09 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	622.83	622.83	622.83	622.83	622.83	423.38	1.0	1.0	1.0	1	1.0	-1.0	-1.0	1.0	-1.0	-1.0								-1.0			560.0									-1.0			451.66
2020-03-10 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	643.95	643.95	643.95	643.95	643.95	423.38	1.0	1.0	1.0	1	1.0	-1.0	-1.0	1.0	-1.0	-1.0								-1.0			560.0	643.95								1.0			451.66
2020-03-11 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	641.83	641.83	641.83	641.83	643.95	423.38	1.0	1.0	1.0	1	1.0	-1.0	-1.0	1.0	-1.0	-1.0								-1.0			560.0		641.83							1.0			451.66
2020-03-12 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	772.62	772.62	772.62	772.62	772.62	423.38	1.0	1.0	1.0	1	1.0	-1.0	-1.0	1.0	-1.0	-1.0								-1.0			560.0	772.62		772.62		772.62		772.62		1.0		772.62	451.66
2020-03-13 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	721.28	721.28	721.28	721.28	772.62	423.38	1.0	1.0	1.0	1	1.0	-1.0	-1.0	1.0	-1.0	-1.0								-1.0			560.0		721.28							1.0			451.66
2020-03-16 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	768.18	768.18	768.18	768.18	772.62	423.38	1.0	1.0	1.0	1	1.0	-1.0	-1.0	1.0	-1.0	-1.0								-1.0			560.0	768.18								1.0			451.66
2020-03-17 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	751.38	751.38	751.38	751.38	772.62	423.38	1.0	1.0	1.0	1	1.0	-1.0	-1.0	1.0	-1.0	-1.0								-1.0			560.0		751.38							1.0			451.66
2020-03-18 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	761.07	761.07	761.07	761.07	772.62	423.38	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0	761.07								1.0			451.66
2020-03-19 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	743.99	743.99	743.99	743.99	772.62	423.38	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0									1.0			451.66
2020-03-20 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	731.46	731.46	731.46	731.46	772.62	423.38	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0		731.46							1.0			451.66
2020-03-23 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	739.55	739.55	739.55	739.55	772.62	423.38	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0								-1.0			560.0	739.55								1.0			451.66
